"id","name","gender","type","party","screen_name"
2190,"Robin L. Kelly","F","rep","Democrat","reprobinkelly"
2264,"John Katko","M","rep","Republican","RepJohnKatko"
2228,"Stephen Knight","M","rep","Republican","RepresentativeSteveKnight"
2294,"Trent Kelly","M","rep","Republican","reptrentkelly"
NA,"Ro Khanna","M","rep","Democrat","RepRoKhanna"
NA,"Ruben J. Kihuen","M","rep","Democrat","RepKihuen"
NA,"Raja Krishnamoorthi","M","rep","Democrat","congressmanraja"
NA,"David Kustoff","M","rep","Republican","RepDavidKustoff"
NA,"John Kennedy","M","sen","Republican","JohnKennedyLouisiana"
1383,"Patrick J. Leahy","M","sen","Democrat","SenatorPatrickLeahy"
683,"Sander M. Levin","M","rep","Democrat","RepSandyLevin"
688,"John Lewis","M","rep","Democrat","RepJohnLewis"
701,"Zoe Lofgren","F","rep","Democrat","zoelofgren"
709,"Nita M. Lowey","F","rep","Democrat","RepLowey"
711,"Frank D. Lucas","M","rep","Republican","RepFrankLucas"
1501,"Barbara Lee","F","rep","Democrat","RepBarbaraLee"
699,"Frank A. LoBiondo","M","rep","Republican","FrankLoBiondo"
1583,"John B. Larson","M","rep","Democrat","RepJohnLarson"
1668,"James R. Langevin","M","rep","Democrat","CongressmanJimLangevin"
1675,"Rick Larsen","M","rep","Democrat","RepRickLarsen"
1686,"Stephen F. Lynch","M","rep","Democrat","repstephenlynch"
1781,"Daniel Lipinski","M","rep","Democrat","repdanlipinski"
1834,"Doug Lamborn","M","rep","Republican","CongressmanDougLamborn"
1846,"David Loebsack","M","rep","Democrat","DaveLoebsack"
1885,"Robert E. Latta","M","rep","Republican","boblatta"
1936,"Leonard Lance","M","rep","Republican","CongressmanLance"
1931,"Blaine Luetkemeyer","M","rep","Republican","BlaineLuetkemeyer"
1939,"Ben Ray Luján","M","rep","Democrat","RepBenRayLujan"
2011,"Raúl R. Labrador","M","rep","Republican","raul.r.labrador"
2050,"James Lankford","M","sen","Republican","SenatorLankford"
2033,"Billy Long","M","rep","Republican","Rep.Billy.Long"
2080,"Mike Lee","M","sen","Republican","senatormikelee"
2100,"Doug LaMalfa","M","rep","Republican","RepLaMalfa"
2111,"Alan S. Lowenthal","M","rep","Democrat","RepLowenthal"
2146,"Michelle Lujan Grisham","F","rep","Democrat","RepLujanGrisham"
2252,"Brenda L. Lawrence","F","rep","Democrat","395759603917487"
2230,"Ted Lieu","M","rep","Democrat","RepTedLieu"
2238,"Barry Loudermilk","M","rep","Republican","reploudermilk"
2271,"Mia B. Love","F","rep","Republican","repmialove"
2295,"Darin LaHood","M","rep","Republican","replahood"
NA,"Al Lawson, Jr.","M","rep","Democrat","RepAlLawsonJr"
NA,"Jason Lewis","M","rep","Republican","RepJasonLewis"
735,"Edward J. Markey","M","sen","Democrat","EdJMarkey"
754,"John McCain","M","sen","Republican","johnmccain"
1504,"James P. McGovern","M","rep","Democrat","RepJimMcGovern"
1395,"Mitch McConnell","M","sen","Republican","mitchmcconnell"
791,"Robert Menendez","M","sen","Democrat","senatormenendez"
1507,"Jerry Moran","M","sen","Republican","jerrymoran"
1506,"Gregory W. Meeks","M","rep","Democrat","gregorymeeksny05"
1653,"Betty McCollum","F","rep","Democrat","repbettymccollum"
1744,"Tim Murphy","M","rep","Republican","reptimmurphy"
1694,"Lisa Murkowski","F","sen","Republican","SenLisaMurkowski"
1792,"Patrick T. McHenry","M","rep","Republican","CongressmanMcHenry"
1804,"Michael T. McCaul","M","rep","Republican","michaeltmccaul"
1806,"Kenny Marchant","M","rep","Republican","RepKennyMarchant"
1809,"Cathy McMorris Rodgers","F","rep","Republican","mcmorrisrodgers"
1811,"Gwen Moore","F","rep","Democrat","GwenSMoore"
1814,"Doris O. Matsui","F","rep","Democrat","doris.matsui"
1833,"Kevin McCarthy","M","rep","Republican","CongressmanKevinMcCarthy"
1832,"Jerry McNerney","M","rep","Democrat","jerrymcnerney"
1837,"Christopher Murphy","M","sen","Democrat","chrismurphyct"
1820,"Claire McCaskill","F","sen","Democrat","senatormccaskill"
1900,"Jeff Merkley","M","sen","Democrat","jeffmerkley"
1908,"Tom McClintock","M","rep","Republican","81125319109"
2053,"Tom Marino","M","rep","Republican","CongressmanMarino"
2074,"David B. McKinley","M","rep","Republican","RepMcKinley"
2052,"Patrick Meehan","M","rep","Republican","CongressmanPatrickMeehan"
1983,"Joe Manchin, III","M","sen","Democrat","JoeManchinIII"
2094,"Thomas Massie","M","rep","Republican","RepThomasMassie"
2150,"Sean Patrick Maloney","M","rep","Democrat","RepSeanMaloney"
2142,"Mark Meadows","M","rep","Republican","Repmarkmeadows"
2148,"Grace Meng","F","rep","Democrat","repgracemeng"
2130,"Luke Messer","M","rep","Republican","RepLukeMesser"
2156,"Markwayne Mullin","M","rep","Republican","RepMullin"
2258,"Thomas MacArthur","M","rep","Republican","CongressmanTomMacArthur"
2248,"John R. Moolenaar","M","rep","Republican","RepMoolenaar"
2277,"Alexander X. Mooney","M","rep","Republican","CongressmanAlexMooney"
2246,"Seth Moulton","M","rep","Democrat","CongressmanSethMoulton"
2225,"Martha McSally","F","rep","Republican","RepMcSally"
NA,"Roger W. Marshall","M","rep","Republican","rogermarshallmd"
NA,"Brian J. Mast","M","rep","Republican","repbrianmast"
NA,"A. Donald McEachin","M","rep","Democrat","RepMcEachin"
NA,"Paul Mitchell","M","rep","Republican","reppaulmitchell"
NA,"Stephanie N. Murphy","F","rep","Democrat","RepStephMurphy"
850,"Jerrold Nadler","M","rep","Democrat","CongressmanNadler"
854,"Richard E. Neal","M","rep","Democrat","reprichardneal"
867,"Richard M. Nolan","M","rep","Democrat","UsRepRickNolan"
868,"Eleanor Holmes Norton","F","rep","Democrat","CongresswomanNorton"
1602,"Grace F. Napolitano","F","rep","Democrat","RepGraceNapolitano"
2202,"Donald Norcross","M","rep","Democrat","DonaldNorcrossNJ"
2275,"Dan Newhouse","M","rep","Republican","RepNewhouse"
1955,"Pete Olson","M","rep","Republican","Rep.PeteOlson"
2162,"Beto O'Rourke","M","rep","Democrat","betoorourketx16"
NA,"Tom O'Halleran","M","rep","Democrat","repohalleran"
887,"Frank Pallone, Jr.","M","rep","Democrat","repfrankpallone"
1510,"Bill Pascrell, Jr.","M","rep","Democrat","pascrell"
905,"Nancy Pelosi","F","rep","Democrat","NancyPelosi"
924,"Rob Portman","M","sen","Republican","senrobportman"
930,"David E. Price","M","rep","Democrat","RepDavidEPrice"
1738,"Stevan Pearce","M","rep","Republican","RepStevePearce"
1802,"Ted Poe","M","rep","Republican","106631626049851"
1835,"Ed Perlmutter","M","rep","Democrat","RepPerlmutter"
1930,"Erik Paulsen","M","rep","Republican","CongressmanErikPaulsen"
1929,"Gary C. Peters","M","sen","Democrat","SenGaryPeters"
1927,"Chellie Pingree","F","rep","Democrat","ChelliePingree"
1910,"Jared Polis","M","rep","Democrat","jaredpolis"
1915,"Bill Posey","M","rep","Republican","bill.posey15"
2035,"Steven M. Palazzo","M","rep","Republican","stevenpalazzo"
2082,"Rand Paul","M","sen","Republican","SenatorRandPaul"
2097,"Donald M. Payne, Jr.","M","rep","Democrat","DonaldPayneJr"
2157,"Scott Perry","M","rep","Republican","repscottperry"
2141,"Robert Pittenger","M","rep","Republican","congressmanpittenger"
2171,"Mark Pocan","M","rep","Democrat","repmarkpocan"
2113,"Scott H. Peters","M","rep","Democrat","RepScottPeters"
2221,"Gary J. Palmer","M","rep","Republican","CongressmanGaryPalmer"
2274,"Stacey E. Plaskett","F","rep","Democrat","repstaceyplaskett"
2247,"Bruce Poliquin","M","rep","Republican","RepPoliquin"
2286,"David Perdue","M","sen","Republican","SenatorDavidPerdue"
NA,"Jimmy Panetta","M","rep","Democrat","RepJimmyPanetta"
1967,"Mike Quigley","M","rep","Democrat","repmikequigley"
949,"Jack Reed","M","sen","Democrat","SenJackReed"
968,"Pat Roberts","M","sen","Republican","SenPatRoberts"
977,"Harold Rogers","M","rep","Republican","CongressmanHalRogers"
979,"Dana Rohrabacher","M","rep","Republican","RepRohrabacher"
985,"Ileana Ros-Lehtinen","F","rep","Republican","iroslehtinen"
997,"Lucille Roybal-Allard","F","rep","Democrat","RepRoybalAllard"
998,"Edward R. Royce","M","rep","Republican","EdRoyce"
1003,"Bobby L. Rush","M","rep","Democrat","congressmanbobbyrush"
1560,"Paul D. Ryan","M","rep","Republican","speakerryan"
1704,"Mike Rogers","M","rep","Republican","CongressmanMikeDRogers"
1728,"C. A. Dutch Ruppersberger","M","rep","Democrat","DutchRupp"
1756,"Tim Ryan","M","rep","Democrat","timryan"
1810,"David G. Reichert","M","rep","Republican","repdavereichert"
1848,"Peter J. Roskam","M","rep","Republican","PeterRoskam"
1954,"David P. Roe","M","rep","Republican","DrPhilRoe"
1916,"Thomas J. Rooney","M","rep","Republican","reptomrooney"
1982,"Tom Reed","M","rep","Republican","RepTomReed"
2048,"James B. Renacci","M","rep","Republican","repjimrenacci"
2023,"Cedric L. Richmond","M","rep","Democrat","RepRichmond"
1986,"Martha Roby","F","rep","Republican","Representative.Martha.Roby"
2017,"Todd Rokita","M","rep","Republican","RepToddRokita"
2003,"Dennis A. Ross","M","rep","Republican","dennis.ross.376"
2084,"Marco Rubio","M","sen","Republican","SenatorMarcoRubio"
2160,"Tom Rice","M","rep","Republican","reptomrice"
2158,"Keith J. Rothfus","M","rep","Republican","keithrothfus"
2109,"Raul Ruiz","M","rep","Democrat","CongressmanRaulRuizMD"
2222,"Aumua Amata Coleman Radewagen","F","rep","Republican","aumuaamata"
2268,"John Ratcliffe","M","rep","Republican","RepRatcliffe"
2262,"Kathleen M. Rice","F","rep","Democrat","RepKathleenRice"
2256,"David Rouzer","M","rep","Republican","RepRouzer"
2265,"Steve Russell","M","rep","Republican","reprussell"
2288,"Mike Rounds","M","sen","Republican","SenatorMikeRounds"
NA,"Jamie Raskin","M","rep","Democrat","repraskin"
NA,"Francis Rooney","M","rep","Republican","RepRooney"
NA,"Jacky Rosen","F","rep","Democrat","RepJackyRosen"
NA,"John H. Rutherford","M","rep","Republican","RepRutherfordFL"
1010,"Bernard Sanders","M","sen","Independent","senatorsanders"
1012,"Mark Sanford","M","rep","Republican","RepSanfordSC"
1036,"Charles E. Schumer","M","sen","Democrat","senschumer"
1037,"Robert C. ""Bobby"" Scott","M","rep","Democrat","RepBobbyScott"
1041,"F. James Sensenbrenner, Jr.","M","rep","Republican","RepSensenbrenner"
1042,"José E. Serrano","M","rep","Democrat","RepJoseSerrano"
1525,"Pete Sessions","M","rep","Republican","petesessions"
1049,"Richard C. Shelby","M","sen","Republican","RichardShelby"
1526,"Brad Sherman","M","rep","Democrat","63158229861"
1527,"John Shimkus","M","rep","Republican","repshimkus"
1069,"Louise McIntosh Slaughter","F","rep","Democrat","RepLouiseSlaughter"
1528,"Adam Smith","M","rep","Democrat","RepAdamSmith"
1071,"Christopher H. Smith","M","rep","Republican","RepChrisSmith"
1075,"Lamar Smith","M","rep","Republican","LamarSmithTX21"
1588,"Janice D. Schakowsky","F","rep","Democrat","janschakowsky"
1590,"Michael K. Simpson","M","rep","Republican","96007744606"
1635,"Adam B. Schiff","M","rep","Democrat","RepAdamSchiff"
1681,"Bill Shuster","M","rep","Republican","Rep.Shuster"
1757,"Linda T. Sánchez","F","rep","Democrat","CongresswomanLindaSanchez"
1722,"David Scott","M","rep","Democrat","113303673339"
1818,"Albio Sires","M","rep","Democrat","81058818750"
1854,"John P. Sarbanes","M","rep","Democrat","RepSarbanes"
1861,"Carol Shea-Porter","F","rep","Democrat","repsheaporter"
1890,"Jackie Speier","F","rep","Democrat","JackieSpeier"
1892,"Steve Scalise","M","rep","Republican","RepSteveScalise"
1962,"Gregorio Kilili Camacho Sablan","M","rep","Democrat","153423912663"
1950,"Kurt Schrader","M","rep","Democrat","repschrader"
1901,"Jeanne Shaheen","F","sen","Democrat","SenatorShaheen"
1994,"David Schweikert","M","rep","Republican","repdavidschweikert"
2056,"Tim Scott","M","sen","Republican","SenatorTimScott"
1988,"Terri A. Sewell","F","rep","Democrat","RepSewell"
2047,"Steve Stivers","M","rep","Republican","116058275133542"
2009,"Austin Scott","M","rep","Republican","RepAustinScott"
2124,"Bradley Scott Schneider","M","rep","Democrat","CongressmanBradSchneider"
2099,"Kyrsten Sinema","F","rep","Democrat","CongresswomanSinema"
2168,"Chris Stewart","M","rep","Republican","RepChrisStewart"
2104,"Eric Swalwell","M","rep","Democrat","CongressmanEricSwalwell"
2173,"Brian Schatz","M","sen","Democrat","SenBrianSchatz"
2191,"Jason Smith","M","rep","Republican","repjasonsmith"
2263,"Elise M. Stefanik","F","rep","Republican","RepEliseStefanik"
2289,"Ben Sasse","M","sen","Republican","SenatorSasse"
2290,"Dan Sullivan","M","sen","Republican","SenDanSullivan"
NA,"Darren Soto","M","rep","Democrat","CongressmanDarrenSoto"
NA,"Thomas R. Suozzi","M","rep","Democrat","RepTomSuozzi"
1151,"Bennie G. Thompson","M","rep","Democrat","CongressmanBennieGThompson"
1155,"Mac Thornberry","M","rep","Republican","repmacthornberry"
1593,"Mike Thompson","M","rep","Democrat","RepMikeThompson"
2085,"Patrick J. Toomey","M","sen","Republican","senatortoomey"
1664,"Patrick J. Tiberi","M","rep","Republican","RepPatTiberi"
1741,"Michael R. Turner","M","rep","Republican","RepMikeTurner"
1829,"Jon Tester","M","sen","Democrat","senatortester"
1884,"Niki Tsongas","F","rep","Democrat","RepTsongas"
1952,"Glenn Thompson","M","rep","Republican","CongressmanGT"
1940,"Dina Titus","F","rep","Democrat","CongresswomanTitus"
1942,"Paul Tonko","M","rep","Democrat","reppaultonko"
1997,"Scott R. Tipton","M","rep","Republican","CongressmanScottTipton"
2110,"Mark Takano","M","rep","Democrat","RepMarkTakano"
2231,"Norma J. Torres","F","rep","Democrat","RepNormaTorres"
2250,"David A. Trott","M","rep","Republican","RepDaveTrott"
2291,"Thom Tillis","M","sen","Republican","SenatorThomTillis"
NA,"Claudia Tenney","F","rep","Republican","RepClaudiaTenney"
1177,"Fred Upton","M","rep","Republican","RepFredUpton"
1567,"Tom Udall","M","sen","Democrat","senatortomudall"
1184,"Nydia M. Velázquez","F","rep","Democrat","8037068318"
1188,"Peter J. Visclosky","M","rep","Democrat","repvisclosky"
1729,"Chris Van Hollen","M","sen","Democrat","chrisvanhollen"
2105,"David G. Valadao","M","rep","Republican","CongressmanDavidValadao"
2112,"Juan Vargas","M","rep","Democrat","RepJuanVargas"
2166,"Marc A. Veasey","M","rep","Democrat","CongressmanMarcVeasey"
2167,"Filemon Vela","M","rep","Democrat","USCongressmanFilemonVela"
1205,"Maxine Waters","F","rep","Democrat","MaxineWaters"
1226,"Roger F. Wicker","M","sen","Republican","SenatorWicker"
1596,"Greg Walden","M","rep","Republican","repgregwalden"
1688,"Joe Wilson","M","rep","Republican","JoeWilson"
1777,"Debbie Wasserman Schultz","F","rep","Democrat","RepDWS"
1855,"Tim Walberg","M","rep","Republican","RepWalberg"
1879,"Peter Welch","M","rep","Democrat","PeterWelch"
1823,"Sheldon Whitehouse","M","sen","Democrat","SenatorWhitehouse"
1886,"Robert J. Wittman","M","rep","Republican","RepRobWittman"
1897,"Mark R. Warner","M","sen","Democrat","MarkRWarner"
2002,"Daniel Webster","M","rep","Republican","RepWebster"
2004,"Frederica S. Wilson","F","rep","Democrat","RepWilson"
1991,"Steve Womack","M","rep","Republican","RepSteveWomack"
2008,"Rob Woodall","M","rep","Republican","RepRobWoodall"
2137,"Ann Wagner","F","rep","Republican","RepAnnWagner"
2128,"Jackie Walorski","F","rep","Republican","RepJackieWalorski"
2161,"Randy K. Weber, Sr.","M","rep","Republican","TXRandy14"
2152,"Brad R. Wenstrup","M","rep","Republican","RepBradWenstrup"
2165,"Roger Williams","M","rep","Republican","RepRogerWilliams"
2182,"Elizabeth Warren","F","sen","Democrat","senatorelizabethwarren"
2255,"Mark Walker","M","rep","Republican","RepMarkWalker"
2232,"Mimi Walters","F","rep","Republican","RepMimiWalters"
2224,"Bruce Westerman","M","rep","Republican","RepWesterman"
2259,"Bonnie Watson Coleman","F","rep","Democrat","RepBonnie"
1256,"Don Young","M","rep","Republican","RepDonYoung"
1853,"John A. Yarmuth","M","rep","Democrat","214258646163"
2021,"Kevin Yoder","M","rep","Republican","CongressmanKevinYoder"
2019,"Todd Young","M","sen","Republican","SenatorToddYoung"
2115,"Ted S. Yoho","M","rep","Republican","CongressmanTedYoho"
2242,"David Young","M","rep","Republican","RepDavidYoung"
2261,"Lee M. Zeldin","M","rep","Republican","RepLeeZeldin"
